Comando,Tempo di Esecuzione (ms),Gas usato,Costo in €
node ./dist/trattamento-singolo/revokeSBT.js,6643.71 ms,127210,5.22
node ./dist/trattamento-categoria/revokeSBT-category.js,6625.33 ms,149550,6.14
node ./dist/multi-sbt/revokeAllSBTs.js,10646.36 ms,136751,5.62
node ./dist/multi-sbt-ctg/revokeAllSBTs.js,1442.47 ms,0,0.00
